F12: x=52, y=8, Path Loss=7.993798935219594
F12: x=50, y=7, Path Loss=5.8464502332857915
F12: x=51, y=8, Path Loss=6.673901960165852
F12: x=56, y=8, Path Loss=5.877143701748213
F12: x=55, y=8, Path Loss=7.280429960856863
F12: x=57, y=8, Path Loss=4.941467898921159
F12: x=51, y=7, Path Loss=7.079716670517505
F12: x=48, y=2, Path Loss=0.45028901959940354
F12: x=57, y=1, Path Loss=0.8703169005672498
F12: x=59, y=9, Path Loss=0.46582941287938945
