F3: x=51, y=2, Path Loss=-48.53071594238281
F3: x=53, y=6, Path Loss=-50.03665542602539
F3: x=54, y=4, Path Loss=-44.26753616333008
F3: x=54, y=1, Path Loss=-51.369903564453125
F3: x=49, y=1, Path Loss=-55.96091842651367
F3: x=55, y=5, Path Loss=-50.85611343383789
F3: x=49, y=3, Path Loss=-53.17356872558594
F3: x=53, y=1, Path Loss=-49.18996810913086
F3: x=54, y=1, Path Loss=-51.369903564453125
F3: x=47, y=7, Path Loss=-64.2176742553711
F3: x=46, y=7, Path Loss=-62.36279296875
