F23: x=60, y=8, Path Loss=8.276229552664967
F23: x=61, y=9, Path Loss=8.995449625778079
F23: x=63, y=7, Path Loss=7.852246392169515
F23: x=61, y=5, Path Loss=6.465608962397861
F23: x=63, y=5, Path Loss=5.815763331851914
F23: x=56, y=7, Path Loss=3.7763774335093263
F23: x=62, y=4, Path Loss=5.010719339806866
F23: x=63, y=1, Path Loss=2.2835783612610174
F23: x=58, y=4, Path Loss=0.8280021485102297
F23: x=54, y=7, Path Loss=2.6110506248056122
