F11: x=52, y=7, Path Loss=7.666223272592832
F11: x=49, y=7, Path Loss=8.470708386066407
F11: x=50, y=7, Path Loss=8.970035275192012
F11: x=50, y=3, Path Loss=3.946598264409403
F11: x=47, y=6, Path Loss=4.794852369400979
F11: x=55, y=8, Path Loss=4.13241944824361
F11: x=55, y=7, Path Loss=4.603582464696127
F11: x=50, y=2, Path Loss=3.3222149504825547
F11: x=48, y=6, Path Loss=3.16071775917139
F11: x=51, y=3, Path Loss=3.3083434156781557
