F17: x=55, y=19, Path Loss=8.056597073759335
F17: x=54, y=19, Path Loss=9.001120706609235
F17: x=51, y=19, Path Loss=7.404521602509506
F17: x=47, y=19, Path Loss=3.8576127127093343
F17: x=58, y=19, Path Loss=4.683419380131253
F17: x=51, y=20, Path Loss=4.898966243172629
F17: x=48, y=18, Path Loss=3.8943552969901885
F17: x=52, y=22, Path Loss=4.015076769586712
F17: x=50, y=20, Path Loss=3.7327662081929973
F17: x=51, y=22, Path Loss=3.4400781684687143
